"surv"	"survse"	"events"	"N"	"Nt"	"Ntevent"
"Bladder_Cancer"	NA	NA	NA	NA	NA	NA
"Bone_Cancer"	NA	NA	NA	NA	NA	NA
"Brain_Cancer"	NA	NA	NA	NA	NA	NA
"Breast_Cancer"	-0.415871081380928	0.364417079224275	95	16759	2465	16
"CNS_Cancer"	NA	NA	NA	NA	NA	NA
"Carinoid_Neoplasm"	NA	NA	NA	NA	NA	NA
"Cervical_Cancer"	0.658737716518344	0.227784837748098	168	16759	2465	25
"Colorectal_Cancer"	NA	NA	NA	NA	NA	NA
"Connective_Tissue_Cancer"	NA	NA	NA	NA	NA	NA
"Endocrine_Cancer"	NA	NA	NA	NA	NA	NA
"Esophageal_Cancer"	NA	NA	NA	NA	NA	NA
"Eye_Cancer"	NA	NA	NA	NA	NA	NA
"Female_Genital_Cancer"	NA	NA	NA	NA	NA	NA
"Generalized_Digestive_Cancer"	NA	NA	NA	NA	NA	NA
"Hepatobiliary_Cancer"	-0.446378813028462	0.27725925420376	227	16759	2465	34
"Hereditary_Breast_Cancer"	NA	NA	NA	NA	NA	NA
"Intestinal_Cancer"	NA	NA	NA	NA	NA	NA
"Intrathoracic_Organ_Cancer"	NA	NA	NA	NA	NA	NA
"Kidney_Cancer"	NA	NA	NA	NA	NA	NA
"Lung_Cancer"	NA	NA	NA	NA	NA	NA
"Male_Breast_Cancer"	NA	NA	NA	NA	NA	NA
"Male_Genital_Cancer"	NA	NA	NA	NA	NA	NA
"Oro_Naso_Pharyngeal_Cancer"	-0.462180519613228	0.491215749535323	50	16759	2465	12
"Other_Lymphoid_Histiocytic_Cancers"	NA	NA	NA	NA	NA	NA
"Ovarian_Cancer"	NA	NA	NA	NA	NA	NA
"Pancreatic_Cancer"	NA	NA	NA	NA	NA	NA
"Prostate_Cancer"	NA	NA	NA	NA	NA	NA
"Respiratory_System_Cancer"	NA	NA	NA	NA	NA	NA
"Stomach_Cancer"	NA	NA	NA	NA	NA	NA
"Thyroid_Cancer"	NA	NA	NA	NA	NA	NA
"Uterine_Cancer"	NA	NA	NA	NA	NA	NA
"Arterial_Embolism_Thrombosis"	-0.386649752621589	0.431580986231814	53	16759	2465	10
"E.Codes..Other.specified..NEC"	NA	NA	NA	NA	NA	NA
"Emphysema_COPD"	-0.0241975823186516	0.164708030222085	525	16759	2465	129
"General_Dementia"	-0.719902131842081	0.51769804997923	74	16759	2465	11
"General_Paralysis"	NA	NA	NA	NA	NA	NA
"HIV"	NA	NA	NA	NA	NA	NA
"Inflammatory_Toxic_Neuropathy"	-0.145486572096756	0.553507515585424	52	16759	2465	9
"Myocardial_Infarction"	0.144956317652221	0.336805214845726	163	16759	2465	30
"Obese_bmi"	NA	NA	NA	NA	NA	NA
"Pancytopenia"	-0.204611693304022	0.366347699397364	178	16759	2465	31
"Parkinsons_Disease"	NA	NA	NA	NA	NA	NA
"Personality_Disorder"	NA	NA	NA	NA	NA	NA
"Septic_Arthritis"	NA	NA	NA	NA	NA	NA
"Septicemia"	-0.576511690851001	0.354910789030855	301	16759	2465	33
"Spleen_Disease"	-0.474761696106164	0.331552236202817	134	16759	2465	23
"Ulcerative_Colitis"	0.650117110226107	0.415536261592035	53	16759	2465	9
"Unspecified_Autoimmune_Disease"	NA	NA	NA	NA	NA	NA
"Unspecified_Hepatitis"	-0.735074645920571	0.447036895752657	219	16759	2465	15
"Unspecified_Immune_Deficiency"	NA	NA	NA	NA	NA	NA
